112005,,93,2064,2967,2987,,,,,,,,,,,,,,,,,,
112006,,10391,15992,16991,16991,,,,,,,,,,,,,,,,,,
112007,,0,6,15,15,,,,,,,,,,,,,,,,,,
112008,,93,1139,4816,5189,,,,,,,,,,,,,,,,,,
112009,,0,442,505,505,,,,,,,,,,,,,,,,,,
112011,,0,11,22,22,,,,,,,,,,,,,,,,,,
112015,,0,38,38,38,,,,,,,,,,,,,,,,,,
112018,,0,65,65,65,,,,,,,,,,,,,,,,,,
112020,,0,0,14,14,,,,,,,,,,,,,,,,,,
112024,,0,27,27,27,,,,,,,,,,,,,,,,,,
113007,,0,7,7,7,,,,,,,,,,,,,,,,,,
113010,,0,17,17,17,,,,,,,,,,,,,,,,,,
113018,,0,0,12,12,,,,,,,,,,,,,,,,,,
113021,,0,0,85,85,,,,,,,,,,,,,,,,,,
113046,,0,0,6,6,,,,,,,,,,,,,,,,,,
114001,,5136,11807,11888,11888,,,,,,,,,,,,,,,,,,
114002,,8349,15023,15582,15582,,,,,,,,,,,,,,,,,,
114003,,10571,14023,14137,14137,,,,,,,,,,,,,,,,,,
114004,,7859,7859,7865,7865,,,,,,,,,,,,,,,,,,
114005,,3915,3921,3954,3981,,,,,,,,,,,,,,,,,,
114006,,18842,18852,18901,18901,,,,,,,,,,,,,,,,,,
114007,,3507,3507,3507,3507,,,,,,,,,,,,,,,,,,
114008,,4962,5007,5228,5263,,,,,,,,,,,,,,,,,,
114009,,25107,25107,25125,25125,,,,,,,,,,,,,,,,,,
114010,,2914,2914,2914,2914,,,,,,,,,,,,,,,,,,
114011,,2544,2637,2652,2652,,,,,,,,,,,,,,,,,,
114012,,7861,8690,8722,8722,,,,,,,,,,,,,,,,,,
114013,,7334,7913,8973,9089,,,,,,,,,,,,,,,,,,
114014,,12499,12526,12526,12526,,,,,,,,,,,,,,,,,,
114015,,10076,10077,10240,10240,,,,,,,,,,,,,,,,,,
114016,,8549,8595,8595,8595,,,,,,,,,,,,,,,,,,
114017,,5744,5815,5817,5817,,,,,,,,,,,,,,,,,,
114018,,23853,24030,24058,24058,,,,,,,,,,,,,,,,,,
115001,,0,85,180,300,,,,,,,,,,,,,,,,,,
115002,,0,31,109,112,,,,,,,,,,,,,,,,,,
115003,,0,61,65,65,,,,,,,,,,,,,,,,,,
115004,,0,123,419,476,,,,,,,,,,,,,,,,,,
115005,,0,239,360,363,,,,,,,,,,,,,,,,,,
115006,,0,416,530,549,,,,,,,,,,,,,,,,,,
115007,,0,176,259,271,,,,,,,,,,,,,,,,,,
115008,,0,22,29,29,,,,,,,,,,,,,,,,,,
115009,,0,131,182,201,,,,,,,,,,,,,,,,,,
115010,,0,31,39,39,,,,,,,,,,,,,,,,,,
115011,,0,91,274,282,,,,,,,,,,,,,,,,,,
115012,,0,46,117,122,,,,,,,,,,,,,,,,,,
115013,,0,107,113,113,,,,,,,,,,,,,,,,,,
115014,,0,414,568,568,,,,,,,,,,,,,,,,,,
115015,,0,2,2,2,,,,,,,,,,,,,,,,,,
115016,,0,471,724,726,,,,,,,,,,,,,,,,,,
115017,,0,946,1136,1150,,,,,,,,,,,,,,,,,,
115018,,0,1515,1684,1773,,,,,,,,,,,,,,,,,,
115019,,0,169,381,397,,,,,,,,,,,,,,,,,,
115020,,0,412,554,572,,,,,,,,,,,,,,,,,,
115021,,0,1413,1454,1454,,,,,,,,,,,,,,,,,,
115022,,0,633,753,759,,,,,,,,,,,,,,,,,,
115023,,1,14,14,14,,,,,,,,,,,,,,,,,,
115024,,0,13,34,34,,,,,,,,,,,,,,,,,,
115025,,0,2865,3740,3974,,,,,,,,,,,,,,,,,,
115026,,0,14,14,14,,,,,,,,,,,,,,,,,,
115027,,0,862,1291,1535,,,,,,,,,,,,,,,,,,
115028,,0,406,447,465,,,,,,,,,,,,,,,,,,
115029,,0,168,227,227,,,,,,,,,,,,,,,,,,
115030,,0,19,20,20,,,,,,,,,,,,,,,,,,
115031,,0,0,9,9,,,,,,,,,,,,,,,,,,
115033,,7621,19346,20423,20581,,,,,,,,,,,,,,,,,,
115034,,1274,4529,5523,5753,,,,,,,,,,,,,,,,,,
115035,,152,261,285,334,,,,,,,,,,,,,,,,,,
115036,,603,1041,1162,1204,,,,,,,,,,,,,,,,,,
115038,,2440,11438,14377,14996,,,,,,,,,,,,,,,,,,
115040,,0,2097,4534,4669,,,,,,,,,,,,,,,,,,
115041,,1590,5132,5793,5863,,,,,,,,,,,,,,,,,,
115042,,5401,8492,9148,9162,,,,,,,,,,,,,,,,,,
115043,,10228,22931,25300,25554,,,,,,,,,,,,,,,,,,
115044,,1724,7336,9373,9558,,,,,,,,,,,,,,,,,,
115045,,192,515,713,713,,,,,,,,,,,,,,,,,,
115046,,513,2186,3155,3423,,,,,,,,,,,,,,,,,,
115047,,0,40,263,263,,,,,,,,,,,,,,,,,,
115048,,768,1860,1953,1953,,,,,,,,,,,,,,,,,,
115049,,2812,5812,7005,7291,,,,,,,,,,,,,,,,,,
115050,,95,2666,3590,3785,,,,,,,,,,,,,,,,,,
115051,,3820,6574,7564,7625,,,,,,,,,,,,,,,,,,
115052,,1179,2732,3049,3083,,,,,,,,,,,,,,,,,,
115053,,5976,8883,10052,10355,,,,,,,,,,,,,,,,,,
115054,,169,220,247,247,,,,,,,,,,,,,,,,,,
115055,,18210,23797,24991,25042,,,,,,,,,,,,,,,,,,
115056,,24073,33944,35417,35457,,,,,,,,,,,,,,,,,,
115057,,380,2634,2888,2903,,,,,,,,,,,,,,,,,,
115058,,5810,16004,18225,18382,,,,,,,,,,,,,,,,,,
115059,,21801,57324,66623,67059,,,,,,,,,,,,,,,,,,
115060,,9301,13336,15402,15743,,,,,,,,,,,,,,,,,,
115061,,15259,25788,28278,28431,,,,,,,,,,,,,,,,,,
115062,,3390,7605,8183,8274,,,,,,,,,,,,,,,,,,
115063,,6143,12012,12902,13081,,,,,,,,,,,,,,,,,,
116001,,470,471,497,497,,,,,,,,,,,,,,,,,,
116002,,4222,5019,5349,5357,,,,,,,,,,,,,,,,,,
116003,,5382,5779,6284,6312,,,,,,,,,,,,,,,,,,
116004,,686,757,882,885,,,,,,,,,,,,,,,,,,
116005,,0,963,2304,2314,,,,,,,,,,,,,,,,,,
116006,,842,1095,1616,1659,,,,,,,,,,,,,,,,,,
116007,,0,8,255,330,,,,,,,,,,,,,,,,,,
116008,,0,49,259,270,,,,,,,,,,,,,,,,,,
116009,,948,2376,3630,3630,,,,,,,,,,,,,,,,,,
116010,,0,318,2435,2458,,,,,,,,,,,,,,,,,,
116011,,0,159,180,180,,,,,,,,,,,,,,,,,,
116012,,3,183,644,720,,,,,,,,,,,,,,,,,,
116013,,0,332,1652,1730,,,,,,,,,,,,,,,,,,
116014,,121,1115,2073,2159,,,,,,,,,,,,,,,,,,
116015,,0,572,1371,1371,,,,,,,,,,,,,,,,,,
116016,,349,688,1276,1301,,,,,,,,,,,,,,,,,,
116017,,1531,3785,5197,5433,,,,,,,,,,,,,,,,,,
116018,,136,762,1204,1207,,,,,,,,,,,,,,,,,,
116019,,2334,4074,5516,5668,,,,,,,,,,,,,,,,,,
116020,,158,1701,2490,2547,,,,,,,,,,,,,,,,,,
116021,,562,1518,4016,4334,,,,,,,,,,,,,,,,,,
116022,,6408,10618,13015,13193,,,,,,,,,,,,,,,,,,
116023,,673,835,835,835,,,,,,,,,,,,,,,,,,
116024,,82,1679,1724,1741,,,,,,,,,,,,,,,,,,
116025,,0,137,161,181,,,,,,,,,,,,,,,,,,
116026,,2326,3310,4032,4060,,,,,,,,,,,,,,,,,,
116027,,0,6455,7105,7183,,,,,,,,,,,,,,,,,,
116028,,1246,11590,14292,14536,,,,,,,,,,,,,,,,,,
116029,,10421,14207,16474,16644,,,,,,,,,,,,,,,,,,
116030,,1988,14889,15568,15734,,,,,,,,,,,,,,,,,,
116031,,8304,11657,13777,14022,,,,,,,,,,,,,,,,,,
116032,,0,8338,8749,8814,,,,,,,,,,,,,,,,,,
116033,,0,913,1034,1034,,,,,,,,,,,,,,,,,,
116034,,66,9724,10015,10070,,,,,,,,,,,,,,,,,,
116035,,0,34,35,35,,,,,,,,,,,,,,,,,,
116036,,0,12063,12620,12640,,,,,,,,,,,,,,,,,,
116037,,10886,15800,20205,20955,,,,,,,,,,,,,,,,,,
116038,,0,2220,2423,2441,,,,,,,,,,,,,,,,,,
116039,,1547,8501,8885,8925,,,,,,,,,,,,,,,,,,
116040,,0,6914,7985,8059,,,,,,,,,,,,,,,,,,
116041,,13504,17769,23531,24261,,,,,,,,,,,,,,,,,,
116042,,0,2009,3423,3925,,,,,,,,,,,,,,,,,,
116043,,18371,24114,25450,25674,,,,,,,,,,,,,,,,,,
116044,,0,3983,5445,5696,,,,,,,,,,,,,,,,,,
116045,,62,10095,11910,12007,,,,,,,,,,,,,,,,,,
116046,,3566,4007,4558,4585,,,,,,,,,,,,,,,,,,
116047,,2349,8301,8988,9051,,,,,,,,,,,,,,,,,,
116048,,6304,9418,12201,12566,,,,,,,,,,,,,,,,,,
116049,,1709,12685,17654,18378,,,,,,,,,,,,,,,,,,
116050,,3289,5914,6835,7241,,,,,,,,,,,,,,,,,,
116051,,7943,13807,18390,18772,,,,,,,,,,,,,,,,,,
117001,,13135,14193,14560,14600,,,,,,,,,,,,,,,,,,
